"","rfpreds$predictions"
"Stan Utley",110.518933333333
"Bo Van Pelt",71.2161333333334
"Frederick van Rooyen",51.5194666666667
"Harold Varner III",48.4345333333334
"Jhonattan Vegas",51.4125333333333
"Kristoffer Ventura",65.8099
"Scott Verplank",82.256
"Camilo Villegas",68.4838666666667
"Bobby Wadkins",92.5171666666667
"Lanny Wadkins",79.2757666666667
"Fred Wadsworth",90.5942333333333
"Johnson Wagner",75.1091666666667
"Grant Waite",112.802466666667
"Duffy Waldorf",68.5943333333333
"Jimmy Walker",92.0172333333334
"Matt Wallace",54.8820666666667
"Marc Warren",59.1941
"Nick Watney",93.7758666666666
"Bubba Watson",53.0205333333333
"Denis Watson",89.5185333333333
"Tom Watson",77.9875333333333
"Bert Weaver",68.1892560937373
"DeWitt Weaver",93.6631
"Boo Weekley",61.6759666666667
"D.A. Weibring",87.1273333333334
"Mike Weir",68.3116333333333
"Tom Weiskopf",68.8221333333334
"Richy Werenski",56.2034333333333
"Lee Westwood",50.9377
"Brett Wetterich",84.3896666666667
"Vincent Whaley",61.3525666666667
"Charlie Wi",68.7343333333334
"Mark Wiebe",94.6682333333333
"Bernd Wiesberger",56.8279666666666
"Tim Wilkinson",62.7688
"Danny Willett",61.8025
"Lee Williams",78.2889666666667
"Jay Williamson",67.8574666666667
"Garrett Willis",121.501466666667
"Dean Wilson",104.898666666667
"Mark Wilson",75.7202
"Thaworn Wiratchant",67.8153666666667
"Aaron Wise",60.5948666666667
"Matthew Wolff",50.9426666666666
"Chris Wood",62.949
"Willie Wood",80.4071333333333
"Gary Woodland",55.8468333333333
"Tiger Woods",51.0226666666667
"Ashun Wu",40.9605475565161
"Bobby Wyatt",92.1493
"Y.E. Yang",66.9328
"Will Zalatoris",34.1946
"Fabrizio Zanotti",64.6233666666667
"Xinjun Zhang",69.0676333333333
"Fuzzy Zoeller",83.9287
"Richard Zokol",92.1364333333333
